setup,app_dirty_evct,rb_dirty_evct,lb_dirty_evct,NF_mem_acc,lb_mem_acc,rb_mem_acc,memhog_acc
susq_450_4k_clean_4, 96407,5484402,20943,775625,0,5492356,23116,
susq_50_4k_clean_4, 77207,260565,10171,696492,0,260489,11164,
susq_150_4k_2_4, 184156,7015115,660,761863,0,610297,811,
susq_450_4k_2_8, 201908,7576607,329,910219,0,4905190,490,
susq_50_4k_2_4, 137838,7241794,465,638367,0,199734,683,
susq_350_4k_clean_4, 93971,4506145,13216,769168,0,4510882,15040,
susq_350_4k_clean12_8, 97974,1652670,30117,800380,0,1652778,31015,
susq_250_4k_clean_4, 101234,3321188,16326,759934,0,3325067,18217,
susq_450_4k_clean12_8, 112890,2012120,30807,818854,0,2012277,31548,
susq_350_4k_2_8, 191065,7581080,450,888165,0,4152929,563,
susq_150_4k_clean_4, 85323,1422651,9982,721498,0,1425838,11903,
susq_450_4k_12_8, 101966,7488845,6,963511,0,13438,18440,
susq_250_4k_clean12_4, 84398,1077985,31123,775594,0,1078071,31930,
susq_50_4k_12_8, 85096,7476960,0,928578,0,11,24576,
susq_150_4k_12_8, 91031,7478726,0,940873,0,903,24576,
susq_250_4k_2_8, 195180,7491924,473,866888,0,2919779,587,
susq_350_4k_12_8, 92471,7482588,0,950225,0,4927,24576,
susq_150_4k_clean12_8, 62364,385069,21948,745981,0,385073,22689,
susq_50_4k_clean12_4, 62357,39158,17765,734420,0,39157,18293,
susq_250_4k_12_8, 90216,7481093,0,945936,0,2111,24576,
susq_50_4k_clean_8, 75767,253949,11416,701047,0,253904,12322,
susq_450_4k_clean_8, 99137,5652178,18533,781222,0,5659149,20746,
susq_50_4k_2_8, 123679,7262195,481,649583,0,206596,568,
susq_150_4k_2_8, 206872,7084896,558,783101,0,1006974,636,
susq_450_4k_2_4, 193515,7532750,1219,873367,0,3484976,1351,
susq_250_4k_clean_8, 98191,3138601,13134,760116,0,3144493,15342,
susq_350_4k_clean_8, 92535,4716426,18933,768566,0,4723594,20930,
susq_350_4k_clean12_4, 105338,1985435,33675,803680,0,1985823,34624,
susq_350_4k_2_4, 201723,7519176,426,844322,0,2548888,636,
susq_150_4k_clean_8, 83738,1337468,8051,730955,0,1342594,10112,
susq_450_4k_clean12_4, 118159,2365144,29933,822068,0,2366271,30878,
susq_450_4k_12_4, 96814,7484372,6033,954506,0,35301,6022,
susq_250_4k_clean12_8, 88716,1100703,25592,784339,0,1100742,26420,
susq_50_4k_12_4, 87027,7478583,11,927223,0,40,16396,
susq_250_4k_2_4, 193440,7228181,503,801161,0,1333659,602,
susq_150_4k_12_4, 86918,7479184,4197,932784,0,356,4188,
susq_250_4k_12_4, 89352,7478056,7060,939521,0,4239,7050,
susq_50_4k_clean12_8, 68099,41726,18779,745625,0,41723,19032,
susq_350_4k_12_4, 87811,7479437,1739,944443,0,4286,1739,
susq_150_4k_clean12_4, 66260,402410,26069,758834,0,402431,27159,
